timestamp,open,high,low,close,volume
2019-04-02,1493.0000,1523.4500,1484.5500,1519.3000,1326295
2019-04-01,1496.7500,1504.0000,1492.1500,1494.1000,606420
2019-03-28,1473.5000,1508.9500,1473.5000,1497.0000,1353947
2019-03-27,1494.0000,1496.9500,1463.5000,1472.0500,1387002
2019-03-26,1460.5000,1492.2500,1460.5000,1485.0500,1630147
2019-03-25,1465.1000,1475.6000,1451.5000,1457.5500,848078
2019-03-22,1459.0000,1479.9000,1452.6000,1471.2500,1380404
2019-03-20,1462.0000,1466.0000,1448.5000,1456.1500,764625
2019-03-19,1442.0000,1459.8500,1440.0000,1453.9000,886660
2019-03-18,1446.0000,1460.6000,1436.6000,1445.6000,1148000
2019-03-15,1434.0000,1457.0000,1428.6500,1432.5500,1667627
2019-03-14,1437.6000,1446.9500,1420.0000,1434.7500,1113700
2019-03-13,1439.4000,1439.4000,1417.0000,1428.3000,708227
2019-03-12,1422.0000,1445.3500,1421.2000,1428.1000,1333909
2019-03-11,1389.2000,1423.0000,1385.0000,1419.8000,1342007
2019-03-08,1393.7500,1394.6500,1380.0000,1382.3500,524331
2019-03-07,1398.6000,1405.5000,1392.0000,1395.4500,746742
2019-03-06,1408.0000,1410.0000,1386.5500,1393.7000,720335
2019-03-05,1393.5000,1409.7500,1382.7000,1403.8500,1214257
2019-03-01,1409.0000,1417.9500,1388.1000,1392.3500,783876
2019-02-28,1414.8000,1415.0000,1401.4500,1405.2000,1230935
2019-02-27,1404.0000,1430.8500,1395.0000,1405.7000,1462017
2019-02-26,1396.9000,1407.0000,1378.6000,1402.0000,1147218
2019-02-25,1399.9500,1405.8000,1391.3500,1398.2500,711217
2019-02-22,1399.0000,1407.7500,1384.2000,1397.8000,801380
2019-02-21,1399.0000,1407.8500,1390.3000,1397.8000,677142
2019-02-20,1380.0000,1398.8000,1376.0000,1396.9000,843469
2019-02-19,1372.0500,1396.9500,1371.0000,1377.8500,697530
2019-02-18,1401.7000,1401.7000,1345.0000,1380.0500,1460282
2019-02-15,1400.8000,1404.9500,1372.1000,1393.6000,1113223
2019-02-14,1417.6500,1423.1500,1396.5000,1399.2000,915441
2019-02-12,1438.5000,1456.9000,1435.2500,1452.1000,947583
2019-02-11,1447.9000,1457.3000,1427.0000,1437.1000,728051
2019-02-08,1468.0000,1480.0000,1445.0000,1448.8000,1018518
2019-02-07,1467.0500,1476.8000,1457.0000,1472.4500,697412
2019-02-06,1457.8500,1476.2000,1452.3000,1469.4000,1088914
2019-02-05,1444.9500,1466.9000,1443.1000,1450.3500,786961
2019-02-04,1444.0000,1452.8000,1434.0000,1446.3500,735159
2019-02-01,1412.4000,1469.6500,1408.2000,1457.2000,2077539
2019-01-31,1400.0000,1415.0000,1391.0500,1412.6000,1256050
2019-01-30,1394.0000,1416.8000,1372.1000,1390.4000,1313152
2019-01-29,1377.0000,1400.0000,1373.2000,1393.3000,1061762
2019-01-28,1375.0000,1391.0000,1366.8500,1379.5000,1590764
2019-01-25,1408.4000,1413.7000,1353.3000,1372.1500,1613548
2019-01-24,1400.0000,1413.5000,1396.5000,1401.8500,1562800
2019-01-23,1429.0000,1429.4500,1390.0000,1396.5500,2702265
2019-01-22,1423.9000,1432.0500,1375.2500,1406.9500,5483768
2019-01-21,1395.2000,1424.8000,1395.2000,1422.1000,2513582
2019-01-18,1391.0000,1404.7500,1383.0000,1400.4500,1092189
2019-01-17,1390.0000,1398.5000,1383.8000,1389.6000,853829
2019-01-16,1410.0000,1412.9500,1387.7000,1389.7500,1189597
2019-01-15,1388.6000,1414.4500,1388.6000,1405.9500,1355920
2019-01-14,1404.0000,1410.6000,1385.4500,1388.6000,1360800
2019-01-11,1399.7500,1406.2000,1392.4000,1403.6500,473391
2019-01-10,1390.0000,1400.0000,1388.6500,1396.3500,1004783
2019-01-09,1402.5000,1414.0000,1397.1500,1402.0000,973687
2019-01-08,1401.0000,1412.7000,1395.5000,1401.2500,1232440
2019-01-07,1386.0000,1405.4000,1383.7500,1396.0000,1074373
2019-01-04,1388.0000,1401.4000,1381.4000,1385.8500,1202397
2019-01-03,1381.8000,1393.8500,1378.0000,1388.3000,1636293
2019-01-02,1367.0000,1386.8500,1361.6000,1383.3000,1233780
2019-01-01,1373.2000,1379.7000,1358.6000,1371.5500,664707
2018-12-31,1375.0000,1378.0000,1367.3000,1373.0500,698593
2018-12-28,1383.0000,1383.0000,1359.0000,1366.0000,1705033
2018-12-27,1360.0500,1384.7500,1354.3000,1372.5000,2174090
2018-12-26,1367.9500,1374.9000,1347.4000,1363.0000,1790087
2018-12-24,1388.0000,1388.9500,1351.1000,1357.0500,1649577
2018-12-21,1433.9000,1433.9000,1382.3000,1388.2000,2098064
2018-12-20,1389.9000,1431.5500,1389.0500,1425.8000,2578234
2018-12-19,1370.0000,1406.8000,1370.0000,1400.2500,3334213
2018-12-18,1338.4500,1361.0000,1327.5500,1355.7000,1581385
2018-12-17,1340.0000,1344.9500,1330.0000,1335.8500,665295
2018-12-14,1332.8000,1351.0000,1320.0000,1340.9500,1869410
2018-12-13,1338.4500,1343.2000,1316.0000,1320.2000,1175211
2018-12-12,1323.0000,1337.2000,1311.8500,1330.9000,986580
2018-12-11,1268.0000,1336.4500,1252.1500,1323.6000,1746513
2018-12-10,1280.0000,1306.2500,1262.3000,1274.2000,1074399
2018-12-07,1306.5000,1324.0000,1298.4000,1318.6500,1037026
2018-12-06,1324.0000,1324.9500,1286.6000,1295.1000,896350
2018-12-05,1328.5000,1343.0000,1323.6000,1329.5000,864628
2018-12-04,1336.5500,1354.7000,1326.4500,1329.4500,830261
2018-12-03,1345.0000,1359.0000,1335.0500,1338.7000,710748
2018-11-30,1352.8000,1361.7500,1342.1500,1345.9500,1030541
2018-11-29,1336.0000,1355.0000,1330.7000,1350.3000,3556169
2018-11-28,1352.9000,1354.5500,1319.1500,1324.2500,1205630
2018-11-27,1346.8000,1346.8000,1326.0500,1339.6000,1130756
2018-11-26,1329.9500,1357.5500,1323.6000,1349.5000,2149117
2018-11-22,1330.0000,1330.7000,1308.7500,1314.4000,691593
2018-11-21,1329.0000,1342.5000,1313.7500,1324.2000,1374789
2018-11-20,1317.0000,1331.0500,1304.7000,1306.8500,867729
2018-11-19,1329.0000,1329.8500,1305.0000,1312.1500,784645
2018-11-16,1320.0000,1329.8000,1313.2000,1321.3000,1113304
2018-11-15,1320.0000,1331.8500,1313.4000,1318.3000,1065640
2018-11-14,1312.0000,1337.9500,1302.0000,1320.5500,1631802
2018-11-13,1277.4500,1295.6000,1277.4500,1284.9000,1632176
2018-11-12,1295.0000,1314.9000,1275.1500,1278.8000,1100286
2018-11-09,1259.8000,1308.9000,1256.8500,1295.6000,2026920
2018-11-07,1250.0000,1254.0000,1239.2000,1250.9500,100134
2018-11-06,1242.2000,1255.0000,1235.0000,1238.5000,815046
2018-11-05,1252.0000,1260.6500,1232.5000,1244.0500,756887
